date,away,home,first_downs_away,third_down_conversions_away,third_down_opportunities_away,fourth_down_conversions_away,fourth_down_conversion_attempts_away,passing_completions_away,passing_attempts_away,passing_yards_away,rushing_attempts_away,rushing_yards_away,total_yards_away,times_sacked_away,sack_yards_lost_away,fumbles_away,int_away,turnovers_away,team_penalties_away,penalty_yards_away,redzone_conversions_away,redzone_opportunities_away,def_st_td_away,drives_away,possession_away,first_downs_home,third_down_conversions_home,third_down_opportunities_home,fourth_down_conversions_home,fourth_down_conversion_attempts_home,passing_completions_home,passing_attempts_home,passing_yards_home,rushing_attempts_home,rushing_yards_home,total_yards_home,times_sacked_home,sack_yards_lost_home,fumbles_home,int_home,turnovers_home,team_penalties_home,penalty_yards_home,redzone_conversions_home,redzone_opportunities_home,def_st_td_home,drives_home,possession_home,score_away,score_home,game_result
2002-09-08,Colts,Jaguars,18,9,14,0,0,19,31,203,28,104,307,1,8,2,0,2,2,14,0,6,2,17,27.45,19,8,16,3,3,22,36,225,32,118,343,1,3,1,1,2,5,40,0,8,0,16,32.55,28,25,0
2002-09-08,Rams,Broncos,15,3,12,0,1,32,41,295,13,32,327,3,20,1,1,2,6,44,0,2,0,5,31.766666666666666,18,2,10,1,1,18,27,187,26,104,291,4,15,0,2,2,3,31,0,1,0,2,28.233333333333334,16,23,1
2002-09-08,Seahawks,Raiders,14,1,11,2,2,23,32,143,16,43,186,3,12,0,0,0,13,105,0,2,0,4,25.15,27,7,12,1,1,19,28,202,40,221,423,2,12,1,1,2,5,45,0,2,0,4,34.85,17,31,1
2002-09-08,Saints,Buccaneers,21,10,20,0,0,24,42,250,34,118,368,2,10,0,1,1,5,45,0,1,2,4,40.68333333333333,19,7,19,0,1,28,53,261,21,72,333,3,17,0,1,1,8,85,0,2,0,4,31.483333333333334,26,20,0
2002-09-08,Cowboys,Texans,11,2,13,0,0,13,30,112,24,155,267,3,19,1,1,2,9,117,0,2,0,18,26.083333333333332,13,2,15,0,0,10,22,123,35,87,210,6,22,0,1,1,11,80,0,4,0,19,33.916666666666664,10,19,1
2002-09-09,Steelers,Patriots,20,4,14,2,2,25,38,209,24,74,283,5,38,2,3,5,13,112,0,8,0,19,30.516666666666666,20,5,13,0,0,29,43,280,18,63,343,2,14,1,0,1,7,88,0,4,0,14,29.483333333333334,14,30,1
2002-09-15,Bears,Falcons,13,4,13,0,0,12,24,136,31,106,242,1,7,1,1,2,7,79,0,5,0,14,28.583333333333332,19,5,13,0,0,17,28,135,30,122,257,4,31,3,0,3,5,40,0,5,0,15,31.416666666666668,14,13,0
2002-09-15,Bengals,Browns,28,9,17,0,2,26,47,201,31,156,357,5,38,0,3,3,3,30,0,3,0,15,31.3,15,4,12,0,1,17,30,190,27,75,265,1,8,0,0,0,12,87,0,2,0,11,28.7,7,20,1
2002-09-15,Titans,Cowboys,19,7,17,1,2,23,43,235,26,98,333,3,24,0,1,1,6,55,0,4,0,15,35.75,14,4,12,0,0,14,24,230,26,67,297,1,10,0,0,0,2,15,0,2,2,15,24.25,13,21,1
2002-09-15,Dolphins,Colts,17,5,10,0,0,13,18,179,34,163,342,1,8,0,1,1,11,68,0,5,0,13,28.783333333333335,29,4,11,1,2,26,45,289,31,143,432,0,0,0,3,3,5,35,0,5,0,13,31.216666666666665,21,13,0
2002-09-15,Jaguars,Chiefs,19,7,15,1,1,25,36,320,29,130,450,0,0,1,0,1,5,45,0,5,0,15,31.733333333333334,18,6,13,0,0,16,32,196,28,140,336,1,3,0,2,2,5,48,0,6,0,13,28.266666666666666,23,16,0
2002-09-15,Packers,Saints,18,3,13,0,2,29,44,262,21,95,357,1,8,3,1,4,7,73,0,6,0,18,30.433333333333334,16,7,12,0,0,16,28,211,28,146,357,1,6,0,2,2,9,59,0,7,2,18,29.566666666666666,20,35,1
2002-09-15,Patriots,Jets,24,10,16,2,2,25,35,269,40,163,432,0,0,1,1,2,3,36,0,7,4,14,38.06666666666667,9,1,12,1,3,18,33,168,9,32,200,5,21,1,1,2,7,55,0,6,0,20,21.933333333333334,44,7,0
2002-09-15,Lions,Panthers,12,1,15,0,0,12,30,49,22,73,122,6,57,1,2,3,11,100,0,4,0,22,26.283333333333335,20,3,14,0,0,21,33,310,30,75,385,0,0,0,0,0,4,55,0,4,2,15,33.71666666666667,7,31,1
2002-09-15,Buccaneers,Ravens,17,6,14,0,0,24,31,205,30,74,279,1,6,0,0,0,10,74,0,6,3,14,35.516666666666666,12,4,15,1,2,16,38,118,20,55,173,3,23,0,1,1,3,25,0,5,0,17,24.483333333333334,25,0,0
2002-09-15,Giants,Rams,16,6,15,0,0,22,26,291,38,103,394,2,16,0,1,1,4,30,0,5,2,16,35.016666666666666,18,3,9,0,1,26,39,260,17,92,352,1,6,2,2,4,8,40,0,8,0,18,24.983333333333334,26,21,0
2002-09-15,Cardinals,Seahawks,19,6,13,0,0,10,22,98,35,249,347,2,9,0,1,1,7,42,0,7,1,15,29.0,26,4,13,0,3,29,47,345,29,81,426,1,7,1,0,1,7,35,0,9,0,16,31.0,24,13,0
2002-09-15,Bills,Vikings,26,4,12,0,0,35,49,437,14,31,468,3,26,0,0,0,6,65,0,10,3,22,30.383333333333333,31,7,16,3,3,25,46,236,39,213,449,5,45,3,0,3,8,65,0,13,0,21,39.81666666666667,45,39,0
2002-09-15,Texans,Chargers,7,1,14,1,2,6,25,29,25,89,118,9,58,1,2,3,12,73,0,4,0,20,27.6,16,4,14,0,0,15,28,143,35,124,267,2,20,0,1,1,4,35,0,5,2,20,32.4,3,24,1
2002-09-15,Broncos,49ers,21,5,10,0,0,14,19,98,35,201,299,4,21,1,0,1,3,30,0,4,0,12,30.666666666666668,18,8,13,0,0,27,36,190,20,71,261,2,15,1,1,2,10,114,0,5,0,14,29.333333333333332,24,14,0
2002-09-15,Raiders,Steelers,27,12,20,0,0,43,65,369,17,95,464,5,34,0,2,2,7,69,0,5,1,16,39.56666666666667,14,4,10,0,0,18,34,201,18,72,273,0,0,4,1,5,6,57,0,4,0,20,20.433333333333334,30,17,0
2002-09-16,Eagles,Commanders,22,7,15,0,1,26,38,283,28,168,451,2,9,0,0,0,4,30,0,4,0,13,35.38333333333333,11,3,12,1,2,16,31,90,18,89,179,4,29,1,2,3,7,55,0,3,1,18,24.616666666666667,37,7,0
2002-09-22,Saints,Bears,18,4,12,0,0,22,34,229,24,73,302,1,4,2,1,3,10,91,0,7,0,18,26.016666666666666,21,6,15,1,1,26,40,228,30,125,353,1,8,1,1,2,7,49,0,8,0,17,33.983333333333334,29,23,0
2002-09-22,Browns,Titans,26,8,15,0,0,36,50,311,20,92,403,3,15,3,1,4,7,57,0,5,1,18,31.033333333333335,13,3,13,1,1,15,23,101,34,86,187,1,6,0,0,0,13,96,0,5,2,17,33.18333333333333,31,28,0
2002-09-22,Jets,Dolphins,13,3,12,1,1,16,28,131,22,58,189,3,26,1,3,4,7,55,0,3,0,18,27.133333333333333,21,6,14,0,0,16,30,183,35,211,394,1,2,0,0,0,7,55,0,5,0,12,32.86666666666667,3,30,1
2002-09-22,Panthers,Vikings,20,6,15,0,0,20,30,206,33,164,370,3,15,0,2,2,6,41,0,6,0,16,35.4,13,2,10,0,1,19,30,177,18,73,250,5,14,1,4,5,6,55,0,4,0,15,24.6,21,14,0
2002-09-22,Chiefs,Patriots,21,6,11,0,0,16,25,128,34,221,349,3,21,1,2,3,1,5,0,7,0,19,27.016666666666666,27,8,17,0,0,39,55,399,20,97,496,4,11,0,1,1,12,100,0,8,0,19,37.65,38,41,1
2002-09-22,Cowboys,Eagles,18,4,13,0,0,21,35,183,27,121,304,3,18,3,1,4,7,92,0,6,1,20,30.866666666666667,26,3,10,1,1,26,40,294,26,153,447,3,15,2,0,2,3,25,0,7,0,16,29.133333333333333,13,44,1
2002-09-22,Colts,Texans,16,6,13,0,0,21,28,251,27,88,339,3,21,2,0,2,4,45,0,5,0,13,31.183333333333334,10,3,13,0,0,12,22,78,30,126,204,4,21,1,1,2,9,67,0,6,0,17,28.816666666666666,23,3,0
2002-09-22,Bills,Broncos,17,6,14,0,0,27,41,252,14,39,291,4,31,1,0,1,10,82,0,7,0,16,27.216666666666665,22,3,13,1,2,19,31,179,32,163,342,4,32,0,0,0,9,64,0,2,2,16,32.78333333333333,23,28,1
2002-09-22,Chargers,Cardinals,19,7,15,0,0,17,31,164,34,125,289,2,17,0,1,1,8,80,0,4,2,14,34.28333333333333,15,7,16,0,1,16,36,200,21,97,297,3,29,1,2,3,2,25,0,2,0,16,25.716666666666665,23,15,0
2002-09-22,Packers,Lions,22,12,21,0,0,31,47,347,31,95,442,1,10,2,1,3,12,88,0,5,2,20,38.9,14,3,13,0,0,15,35,176,21,95,271,1,6,1,4,5,4,24,0,6,1,22,21.1,37,31,0
2002-09-22,Seahawks,Giants,7,4,12,0,0,16,25,105,18,40,145,2,13,0,1,1,6,37,0,3,0,14,23.166666666666668,21,8,18,0,1,23,38,257,35,94,351,3,25,0,0,0,3,24,0,3,0,12,36.833333333333336,6,9,1
2002-09-22,Commanders,49ers,12,4,12,0,0,18,30,160,16,57,217,3,23,2,1,3,4,35,0,3,0,15,24.083333333333332,22,6,14,0,0,15,28,114,41,252,366,2,11,0,1,1,5,50,0,5,0,15,35.916666666666664,10,20,1
2002-09-22,Bengals,Falcons,11,5,16,0,4,18,42,125,20,66,191,2,11,0,2,2,8,72,0,4,0,18,23.25,18,5,14,1,1,16,26,163,36,143,306,1,11,0,0,0,7,70,0,3,0,11,36.75,3,30,1
2002-09-23,Rams,Buccaneers,21,5,13,1,1,30,45,269,20,89,358,5,32,0,4,4,5,33,0,4,0,17,34.78333333333333,14,3,11,0,0,23,32,189,16,63,252,1,10,1,0,1,8,50,0,4,2,13,25.216666666666665,14,26,1
2002-09-29,Bears,Bills,15,6,14,0,0,19,31,188,26,52,240,0,0,0,0,0,5,55,0,8,2,17,29.066666666666666,26,5,11,0,0,28,36,307,25,103,410,2,21,1,0,1,9,82,0,8,0,18,32.9,27,33,1
2002-09-29,Saints,Lions,24,7,13,0,0,27,48,247,16,110,357,3,22,1,2,3,6,38,0,7,0,18,26.383333333333333,16,5,15,1,2,20,35,267,30,85,352,0,0,0,0,0,5,44,0,7,2,15,33.61666666666667,21,26,1
2002-09-29,Panthers,Packers,18,4,14,0,0,10,24,193,35,139,332,4,9,3,0,3,7,77,0,5,0,16,31.616666666666667,17,2,11,0,0,19,33,199,22,99,298,4,32,0,1,1,10,83,0,2,0,16,28.383333333333333,14,17,1
2002-09-29,Dolphins,Chiefs,28,1,8,0,1,29,45,294,19,105,399,2,16,1,4,5,9,86,0,11,0,22,26.416666666666668,25,5,13,0,0,24,34,328,33,122,450,0,0,0,0,0,10,71,0,10,0,19,33.583333333333336,30,48,1
2002-09-29,Cowboys,Rams,17,5,15,0,0,26,36,193,27,122,315,2,11,1,1,2,8,60,0,3,0,14,31.95,19,5,13,0,0,25,40,273,21,93,366,1,6,1,2,3,8,65,0,3,0,12,28.05,13,10,0
2002-09-29,Texans,Eagles,12,3,15,1,2,16,29,151,24,91,242,7,37,1,2,3,11,83,0,5,0,20,26.6,21,8,17,1,1,25,44,289,29,102,391,3,27,2,1,3,4,32,0,5,0,18,33.4,17,35,1
2002-09-29,Browns,Steelers,13,5,14,0,0,16,29,122,24,123,245,3,22,0,2,2,7,50,0,4,0,13,29.016666666666666,21,5,14,1,1,26,39,265,34,93,358,0,0,0,2,2,7,45,0,9,0,16,38.21666666666667,13,16,1
2002-09-29,Jets,Jaguars,18,5,13,0,3,21,39,267,22,78,345,2,14,2,2,4,4,25,0,4,0,14,26.566666666666666,20,4,10,0,0,10,15,160,40,223,383,2,13,0,0,0,3,15,0,3,0,12,33.43333333333333,3,28,1
2002-09-29,Buccaneers,Bengals,17,4,11,0,0,19,30,262,28,101,363,2,15,1,2,3,7,65,0,1,2,14,31.366666666666667,11,2,17,2,3,12,33,94,29,74,168,3,23,1,1,2,4,30,0,6,2,19,28.633333333333333,35,7,0
2002-09-29,Giants,Cardinals,14,3,11,1,3,19,36,196,17,67,263,1,3,1,2,3,10,110,0,3,0,13,23.916666666666668,18,10,17,0,1,23,32,161,36,102,263,1,7,1,0,1,5,35,0,3,2,13,36.083333333333336,7,21,1
2002-09-29,Titans,Raiders,23,6,10,0,1,32,46,387,16,43,430,2,11,0,4,4,11,77,0,4,0,21,30.416666666666668,24,3,9,0,0,29,39,374,21,90,464,2,7,1,0,1,10,117,0,8,4,18,29.583333333333332,25,52,1
2002-09-29,Patriots,Chargers,25,7,14,1,2,36,53,353,23,87,440,0,0,1,2,3,6,45,0,5,0,13,33.21666666666667,14,6,12,1,2,10,18,104,34,238,342,0,0,1,0,1,2,20,0,1,0,12,26.783333333333335,14,21,1
2002-09-29,Vikings,Seahawks,28,10,18,1,4,29,53,249,32,194,443,4,24,2,2,4,8,58,0,13,0,22,34.88333333333333,18,4,12,1,2,13,28,222,31,159,381,0,0,1,0,1,4,35,0,8,2,18,25.116666666666667,23,48,1
2002-09-30,Broncos,Ravens,30,5,14,1,1,35,54,306,21,97,403,3,22,0,3,3,9,91,0,8,0,21,32.9,14,3,13,0,0,13,24,146,30,84,230,1,6,2,0,2,9,62,0,6,0,18,27.1,23,34,1
2002-10-06,Buccaneers,Falcons,15,4,13,1,1,17,31,253,26,74,327,2,8,1,1,2,6,35,0,2,2,12,29.566666666666666,14,3,14,0,1,17,38,173,22,70,243,4,14,0,4,4,6,41,0,3,0,15,30.433333333333334,20,6,0
2002-10-06,Raiders,Bills,24,6,13,0,0,23,38,353,27,142,495,1,4,0,0,0,10,120,0,8,2,19,28.466666666666665,29,7,15,1,1,32,53,399,18,80,479,5,18,0,3,3,7,43,0,7,0,20,31.533333333333335,49,31,0
2002-10-06,Giants,Cowboys,16,6,13,0,0,18,27,212,28,104,316,2,16,1,1,2,6,48,0,3,0,15,28.833333333333332,20,8,17,0,2,23,42,245,24,95,340,3,17,0,0,0,5,37,0,6,0,14,31.166666666666668,21,17,0
2002-10-06,Commanders,Titans,25,8,14,0,0,22,38,286,30,156,442,1,7,0,0,0,7,46,0,6,0,14,34.2,17,2,11,1,2,24,39,230,15,59,289,4,15,1,3,4,7,46,0,7,0,16,25.8,31,14,0
2002-10-06,Bengals,Colts,23,2,11,2,3,31,43,237,24,173,410,1,7,1,3,4,6,63,0,6,0,16,30.75,19,6,14,0,0,21,34,224,25,87,311,0,0,0,1,1,5,71,0,7,0,15,29.25,21,28,1
2002-10-06,Patriots,Dolphins,16,3,10,0,1,17,31,208,17,37,245,3,32,1,2,3,6,49,0,3,0,16,20.016666666666666,21,9,17,0,0,17,27,182,44,137,319,1,8,1,0,1,5,35,0,5,0,14,39.983333333333334,13,26,1
2002-10-06,Steelers,Saints,23,7,13,1,1,22,38,244,26,120,364,4,24,1,1,2,7,80,0,7,0,18,32.233333333333334,17,5,12,0,0,13,23,194,28,121,315,2,11,0,0,0,6,35,0,6,0,13,27.766666666666666,29,32,1
2002-10-06,Cardinals,Panthers,18,6,18,0,1,18,40,221,29,91,312,1,0,0,1,1,6,62,0,3,0,16,31.433333333333334,12,4,14,0,1,20,34,186,24,58,244,2,10,2,2,4,6,45,0,4,0,18,28.566666666666666,16,13,0
2002-10-06,Chargers,Broncos,16,8,15,0,0,26,42,235,18,79,314,0,0,1,2,3,5,41,0,4,0,13,26.216666666666665,20,7,15,1,1,26,35,300,31,117,417,2,16,0,1,1,6,50,0,4,2,14,33.78333333333333,9,26,1
2002-10-06,Chiefs,Jets,24,5,10,0,0,23,33,289,28,215,504,1,7,0,1,1,7,65,0,6,0,13,30.983333333333334,23,6,11,0,0,22,29,212,27,147,359,3,25,0,1,1,4,25,0,6,0,16,29.016666666666666,29,25,0
2002-10-06,Rams,49ers,19,4,14,3,3,23,40,225,24,88,313,1,7,0,2,2,4,40,0,7,0,16,30.9,21,4,9,0,0,18,27,207,27,179,386,1,7,0,0,0,4,27,0,7,2,13,29.1,13,37,1
2002-10-06,Eagles,Jaguars,28,7,17,3,4,28,48,207,30,199,406,5,23,0,0,0,10,75,0,7,0,16,34.96666666666667,16,2,11,1,1,13,23,197,27,70,267,1,0,0,0,0,4,21,0,4,1,13,25.033333333333335,25,28,1
2002-10-06,Ravens,Browns,18,6,15,0,0,19,30,208,34,201,409,0,0,1,0,1,7,65,0,5,0,14,30.85,21,7,15,2,2,29,49,371,17,62,433,2,25,1,4,5,9,117,0,6,0,18,29.15,26,21,0
2002-10-07,Packers,Bears,20,3,13,1,1,22,33,333,30,124,457,3,26,1,0,1,5,49,0,7,2,18,31.066666666666666,20,6,15,1,3,27,50,335,16,45,380,3,18,1,3,4,7,65,0,9,0,20,28.933333333333334,34,21,0
2002-10-13,Steelers,Bengals,21,7,12,0,0,16,25,197,35,211,408,2,19,0,2,2,7,50,0,5,1,12,31.2,18,8,14,0,2,23,35,190,24,78,268,5,32,1,3,4,4,30,0,6,0,18,28.8,34,7,0
2002-10-13,Panthers,Cowboys,14,5,16,0,0,16,27,198,34,110,308,0,0,0,0,0,14,106,0,1,0,16,33.6,17,3,13,2,3,15,32,174,24,137,311,6,51,1,1,2,9,71,0,4,0,15,26.4,13,14,1
2002-10-13,Ravens,Colts,15,4,13,1,1,15,28,139,26,105,244,3,24,2,1,3,5,52,0,7,0,19,28.983333333333334,19,3,13,0,0,30,40,257,19,60,317,5,27,0,1,1,9,70,0,6,0,16,31.016666666666666,20,22,1
2002-10-13,Lions,Vikings,17,4,13,1,2,25,41,301,17,53,354,1,8,0,1,1,5,56,0,6,2,17,28.333333333333332,22,5,12,0,1,27,36,291,25,111,402,1,4,0,1,1,10,75,0,7,0,17,31.666666666666668,24,31,1
2002-10-13,Packers,Patriots,20,5,14,1,1,17,27,143,36,158,301,1,4,0,0,0,5,60,0,6,0,13,32.21666666666667,20,6,13,1,2,24,44,166,22,123,289,2,17,1,3,4,12,126,0,6,0,16,27.783333333333335,28,10,0
2002-10-13,Falcons,Giants,15,8,13,0,0,19,25,246,24,67,313,2,11,0,0,0,3,20,0,4,0,10,29.966666666666665,18,6,13,1,2,20,31,190,27,113,303,3,14,1,1,2,6,35,0,6,0,12,30.033333333333335,17,10,0
2002-10-13,Browns,Buccaneers,11,6,17,0,0,20,40,134,18,60,194,2,17,0,1,1,8,66,0,1,0,15,26.433333333333334,22,6,14,0,1,15,32,194,38,186,380,0,0,0,1,1,5,45,0,8,0,13,33.56666666666667,3,17,1
2002-10-13,Saints,Commanders,16,6,16,0,0,12,23,192,34,119,311,2,13,0,1,1,12,90,0,9,2,18,32.333333333333336,20,4,13,2,4,21,43,264,17,54,318,7,56,1,4,5,11,87,0,8,2,20,27.666666666666668,43,27,0
2002-10-13,Bills,Texans,25,6,14,0,0,19,33,230,33,173,403,3,24,1,0,1,13,128,0,5,0,15,33.36666666666667,18,3,12,1,2,13,24,197,29,141,338,5,26,0,0,0,11,75,0,9,0,16,26.633333333333333,31,24,0
2002-10-13,Jaguars,Titans,13,4,9,0,0,7,13,68,26,130,198,3,16,0,2,2,4,22,0,3,0,14,22.283333333333335,25,10,17,2,2,26,36,218,40,152,370,1,8,1,0,1,5,55,0,6,0,13,37.71666666666667,14,23,1
2002-10-13,Raiders,Rams,20,3,11,0,2,30,45,302,17,65,367,4,30,1,2,3,14,107,0,6,0,17,28.233333333333334,19,4,11,0,0,14,21,164,32,158,322,3,22,1,0,1,11,82,0,6,0,16,31.766666666666666,13,28,1
2002-10-13,Chiefs,Chargers,17,4,12,0,0,17,29,231,29,88,319,1,5,0,2,2,3,30,0,6,0,18,29.533333333333335,27,6,12,1,1,28,41,312,28,153,465,1,7,3,2,5,4,35,0,12,0,20,30.466666666666665,34,35,1
2002-10-13,Dolphins,Broncos,16,5,11,0,0,19,29,201,23,58,259,1,9,1,1,2,8,42,0,7,2,18,25.916666666666668,27,6,16,0,0,27,46,299,26,111,410,3,36,1,2,3,9,70,0,6,0,17,34.083333333333336,24,22,0
2002-10-14,49ers,Seahawks,24,7,12,0,0,16,29,190,31,161,351,2,12,0,0,0,8,51,0,7,0,11,29.516666666666666,24,10,15,0,0,21,31,211,30,123,334,1,1,0,2,2,10,80,0,8,1,14,30.483333333333334,28,21,0
2002-10-20,Panthers,Falcons,12,3,11,0,2,9,26,104,21,101,205,4,22,0,1,1,6,40,0,3,0,15,19.866666666666667,25,5,11,1,1,20,27,206,39,187,393,1,8,0,0,0,9,65,0,2,0,9,40.13333333333333,0,30,1
2002-10-20,Bears,Lions,17,6,12,0,0,16,25,135,31,89,224,3,28,2,1,3,5,40,0,5,0,16,29.366666666666667,23,3,12,1,1,16,29,170,39,192,362,2,29,1,0,1,10,79,0,6,0,16,35.43333333333333,20,23,1
2002-10-20,Broncos,Chiefs,22,5,15,2,3,30,50,366,27,141,507,1,10,1,0,1,8,75,0,11,0,21,31.316666666666666,24,4,13,0,0,20,33,143,31,162,305,4,29,0,0,0,5,50,0,12,0,21,31.633333333333333,37,34,0
2002-10-20,Seahawks,Rams,13,2,11,0,1,10,30,240,16,50,290,3,15,1,2,3,2,15,0,6,2,21,19.55,28,8,16,0,0,22,40,260,42,218,478,1,5,1,1,2,6,35,0,6,0,17,40.45,20,37,1
2002-10-20,Bills,Dolphins,15,3,13,0,1,15,31,162,27,132,294,5,20,0,0,0,4,40,0,5,2,16,28.766666666666666,17,6,15,1,2,13,33,155,34,132,287,1,10,2,4,6,6,56,0,6,0,18,31.233333333333334,23,10,0
2002-10-20,49ers,Saints,26,9,12,0,0,23,39,275,25,143,418,0,0,1,1,2,5,42,0,9,0,16,29.983333333333334,27,10,14,0,0,23,35,243,27,179,422,3,11,1,0,1,4,35,0,9,0,14,30.016666666666666,27,35,1
2002-10-20,Vikings,Jets,21,7,11,0,0,26,39,288,23,101,389,0,0,1,3,4,6,60,0,7,0,13,26.25,21,6,13,0,0,24,29,316,29,91,407,2,8,0,0,0,4,45,0,4,0,10,33.75,7,20,1
2002-10-20,Jaguars,Ravens,22,6,16,2,4,24,46,224,30,173,397,2,7,0,3,3,5,30,0,7,0,16,32.016666666666666,16,6,14,0,0,14,28,143,32,118,261,2,9,2,0,2,4,30,0,4,0,15,27.983333333333334,10,17,1
2002-10-20,Texans,Browns,17,8,18,0,0,23,37,265,22,89,354,8,41,2,0,2,6,54,0,6,0,20,29.666666666666668,14,3,13,1,1,21,31,141,24,89,230,1,7,0,0,0,4,42,0,6,1,17,30.333333333333332,17,34,1
2002-10-20,Chargers,Raiders,24,6,13,0,0,16,25,161,42,172,333,2,9,0,0,0,10,97,0,6,0,14,35.85,26,1,7,0,0,35,45,353,12,37,390,3,8,0,1,1,5,50,0,8,0,14,27.783333333333335,27,21,0
2002-10-20,Commanders,Packers,19,3,10,0,1,10,24,92,34,146,238,6,43,4,0,4,11,129,0,8,0,18,30.983333333333334,19,4,12,0,1,20,29,155,25,88,243,1,12,1,0,1,11,95,0,8,0,14,29.016666666666666,9,30,1
2002-10-20,Buccaneers,Eagles,15,3,13,0,0,23,38,126,21,81,207,6,29,1,1,2,7,59,0,3,2,17,28.783333333333335,14,4,14,0,0,12,25,110,34,159,269,2,17,1,1,2,8,56,0,6,0,15,31.216666666666665,10,20,1
2002-10-20,Cowboys,Cardinals,14,2,12,0,0,13,22,194,36,148,342,2,8,0,4,4,6,59,0,3,0,15,30.95,22,9,21,0,0,23,46,228,38,152,380,1,4,1,0,1,2,15,0,2,0,15,40.88333333333333,6,9,1
2002-10-21,Colts,Steelers,23,8,16,2,2,32,48,295,21,72,367,2,9,0,3,3,7,55,0,4,0,14,30.883333333333333,22,3,7,0,1,15,23,182,33,182,364,1,6,0,1,1,4,38,0,7,0,11,29.116666666666667,10,28,1
2002-10-27,Lions,Bills,16,5,15,0,2,20,42,199,24,83,282,0,0,0,1,1,8,71,0,4,0,16,28.45,23,6,14,1,1,21,36,269,24,74,343,4,33,2,0,2,6,51,0,5,0,14,31.55,17,24,1
2002-10-27,Titans,Bengals,20,4,11,0,0,16,27,208,27,134,342,1,7,1,0,1,7,40,0,8,0,15,26.083333333333332,22,5,11,0,1,17,23,193,40,191,384,0,0,1,0,1,9,81,0,10,0,17,33.916666666666664,30,24,0
2002-10-27,Seahawks,Cowboys,18,10,16,0,0,19,31,170,34,97,267,1,7,0,2,2,6,57,0,5,0,12,32.083333333333336,17,3,9,0,1,12,24,132,28,105,237,2,13,1,0,1,5,55,0,3,0,14,27.916666666666668,17,14,0
